Data Extract: data for one segment with characteristics given in cells N3:O10,,,,,,,,,,,,,,,,,
Tier,FICO,Approve Date,Term,Amount,Previous Rate,Car  Type,Competition Rate,Outcome,Rate,Cost of Funds,Partner Bin,,,,,,
2,711,8/8/03,60,20190, ,U,4.55,1,4.89,1.11,1,,,,,,
2,708,8/8/03,60,23102, ,U,4.55,1,4.84,1.11,3,,,,,,
3,691,8/12/03,60,22724, ,U,4.55,1,5.55,1.11,1,,,,,,
2,708,8/14/03,60,23963, ,U,4.79,1,4.89,1.11,3,,,,,,
2,703,8/15/03,60,23612, ,U,4.79,1,5.09,1.11,1,,,,,,
2,707,8/25/03,60,24465, ,U,4.79,1,4.99,1.11,1,,,,,,
3,696,8/26/03,60,22530, ,U,4.79,1,5.69,1.11,1,,,,,,
3,692,8/28/03,60,18400, ,U,4.79,1,5.69,1.12,1,,,,,,
3,690,8/29/03,60,20557, ,U,4.79,1,5.69,1.12,3,,,,,,
3,689,8/30/03,60,24000, ,U,4.79,1,5.69,1.12,1,,,,,,
3,689,8/30/03,60,20287, ,U,4.79,1,5.69,1.12,3,,,,,,
3,693,9/1/03,60,24580, ,U,4.79,1,5.69,1.12,1,,,,,,
3,689,9/3/03,60,18405, ,U,4.79,1,5.69,1.12,1,,,,,,
2,705,9/6/03,60,19315, ,U,4.79,1,4.99,1.12,3,,,,,,
2,705,9/6/03,60,19707, ,U,4.79,1,4.99,1.12,1,,,,,,
3,691,9/8/03,60,19000, ,U,4.79,1,5.69,1.12,3,,,,,,
3,684,9/9/03,60,19309, ,U,4.79,1,5.69,1.12,3,,,,,,
2,706,9/9/03,60,22956, ,U,4.79,1,4.99,1.12,1,,,,,,
2,712,9/10/03,60,22683, ,U,4.79,1,4.99,1.12,1,,,,,,
3,696,9/29/03,60,24000, ,U,4.59,1,5.69,1.12,1,,,,,,
3,688,9/11/03,60,22792, ,U,4.79,1,5.69,1.12,1,,,,,,
3,693,9/12/03,60,23747, ,U,4.79,1,5.69,1.12,3,,,,,,
2,706,9/12/03,60,23812, ,U,4.79,1,4.99,1.12,1,,,,,,
3,690,9/16/03,60,22416, ,U,4.79,1,5.69,1.12,1,,,,,,
3,685,9/15/03,60,18000, ,U,4.79,1,5.69,1.12,3,,,,,,
2,707,9/17/03,60,21500, ,U,4.79,1,4.99,1.12,1,,,,,,
2,709,9/21/03,60,21640, ,U,4.79,1,4.99,1.12,1,,,,,,
3,696,9/27/03,60,19338, ,U,4.59,1,5.69,1.12,3,,,,,,
3,692,9/28/03,60,21043, ,U,4.59,1,5.69,1.12,1,,,,,,
2,708,9/30/03,60,23535, ,U,4.59,1,4.99,1.12,3,,,,,,
3,690,9/30/03,60,22896, ,U,4.59,1,5.69,1.12,3,,,,,,
3,687,10/6/03,60,20529, ,U,4.55,1,5.69,1.12,1,,,,,,
2,711,10/6/03,60,19005, ,U,4.55,1,4.99,1.12,3,,,,,,
2,712,10/6/03,60,21154, ,U,4.55,1,4.99,1.12,1,,,,,,
3,689,10/6/03,60,21670, ,U,4.55,1,5.69,1.12,1,,,,,,
2,709,10/6/03,60,21674, ,U,4.55,1,4.99,1.12,3,,,,,,
3,698,10/8/03,60,21716, ,U,4.55,1,5.69,1.12,3,,,,,,
3,689,10/13/03,60,19678, ,U,4.55,1,5.69,1.12,3,,,,,,
3,685,10/13/03,60,22016, ,U,4.55,1,5.69,1.12,1,,,,,,
2,706,10/13/03,60,18319, ,U,4.55,1,4.99,1.12,1,,,,,,
2,705,10/13/03,60,17916, ,U,4.55,1,5.19,1.12,1,,,,,,
3,689,10/16/03,60,22439, ,U,4.55,1,5.69,1.12,3,,,,,,
2,703,10/16/03,60,19016, ,U,4.55,1,4.99,1.12,3,,,,,,
2,704,10/19/03,60,18676, ,U,4.55,1,4.99,1.12,1,,,,,,
3,695,10/20/03,60,21400, ,U,4.55,1,5.69,1.12,1,,,,,,
3,699,10/21/03,60,23071, ,U,4.55,1,5.69,1.12,1,,,,,,
3,692,10/22/03,60,20000, ,U,4.55,1,5.69,1.12,1,,,,,,
2,703,10/25/03,60,23549, ,U,4.65,1,4.99,1.12,3,,,,,,
3,696,10/27/03,60,23010, ,U,4.65,1,5.69,1.12,1,,,,,,
3,684,10/28/03,60,20495, ,U,4.65,1,5.69,1.12,3,,,,,,
3,690,10/28/03,60,24179, ,U,4.65,1,5.69,1.12,1,,,,,,
2,709,10/29/03,60,18341, ,U,4.65,1,4.99,1.12,1,,,,,,
2,706,10/30/03,60,19000, ,U,4.65,1,4.99,1.12,1,,,,,,
2,702,11/1/03,60,19424, ,U,4.65,1,4.99,1.12,1,,,,,,
1,697,11/13/03,60,24948, ,U,4.65,1,4.65,1.12,1,,,,,,
2,712,11/17/03,60,24785, ,U,4.79,1,5.19,1.12,1,,,,,,
3,690,11/18/03,60,20856, ,U,4.79,1,5.99,1.12,1,,,,,,
3,696,11/18/03,60,23654, ,U,4.79,1,5.99,1.12,1,,,,,,
2,686,11/20/03,60,24123, ,U,4.79,1,5.19,1.12,1,,,,,,
3,693,11/21/03,60,22469, ,U,4.79,1,5.99,1.12,1,,,,,,
3,710,11/24/03,60,17958, ,U,4.79,1,5.29,1.12,1,,,,,,
2,703,11/25/03,60,24701, ,U,4.79,1,5.19,1.12,1,,,,,,
2,700,11/28/03,60,23511, ,U,4.79,1,5.19,1.17,3,,,,,,
2,708,11/30/03,60,18509, ,U,4.79,1,5.19,1.17,1,,,,,,
2,694,12/1/03,60,22650, ,U,4.79,1,5.19,1.17,3,,,,,,
2,708,12/2/03,60,19711, ,U,4.79,1,5.19,1.17,3,,,,,,
2,708,12/3/03,60,20567, ,U,4.79,1,5.19,1.17,1,,,,,,
2,698,12/5/03,60,21750, ,U,4.79,1,5.19,1.17,1,,,,,,
2,705,12/5/03,60,24071, ,U,4.79,1,5.19,1.17,1,,,,,,
1,709,12/8/03,60,21842, ,U,4.99,1,4.79,1.17,3,,,,,,
2,693,12/14/03,60,19052, ,U,4.99,1,5.89,1.15,1,,,,,,
2,701,12/16/03,60,22618, ,U,4.99,0,5.89,1.15,1,,,,,,
2,712,12/16/03,60,25000, ,U,4.99,0,5.89,1.15,1,,,,,,
1,712,12/18/03,60,20000, ,U,4.99,0,4.85,1.15,3,,,,,,
2,708,12/19/03,60,18897, ,U,4.99,0,5.89,1.15,1,,,,,,
1,691,12/20/03,60,18950, ,U,4.99,1,4.99,1.15,1,,,,,,
3,686,12/20/03,60,17985, ,U,4.99,1,6.19,1.15,1,,,,,,
1,693,12/20/03,60,23500, ,U,4.99,1,4.99,1.15,2,,,,,,
2,684,12/21/03,60,18488, ,U,4.99,1,5.89,1.15,3,,,,,,
3,691,12/21/03,60,19999, ,U,4.99,0,6.19,1.15,2,,,,,,
2,707,12/22/03,60,23856, ,U,4.99,0,5.89,1.14,3,,,,,,
2,688,12/22/03,60,20670, ,U,4.99,1,5.89,1.14,3,,,,,,
2,706,12/22/03,60,18000, ,U,4.99,0,5.89,1.14,3,,,,,,
3,691,12/22/03,60,20000, ,U,4.99,0,6.19,1.14,2,,,,,,
3,687,12/26/03,60,23067, ,U,4.99,0,6.19,1.14,2,,,,,,
2,703,12/22/03,60,20493, ,U,4.99,1,5.89,1.14,3,,,,,,
2,685,12/22/03,60,23000, ,U,4.99,0,5.89,1.14,2,,,,,,
3,695,12/23/03,60,19000, ,U,4.99,0,6.19,1.14,3,,,,,,
2,708,12/23/03,60,24894, ,U,4.99,0,5.89,1.14,2,,,,,,
3,699,12/24/03,60,25000, ,U,4.99,0,6.19,1.14,1,,,,,,
3,699,12/26/03,60,20595, ,U,4.99,0,6.19,1.14,2,,,,,,
3,687,12/26/03,60,20428, ,U,4.99,0,6.19,1.14,1,,,,,,
2,712,12/28/03,60,19500, ,U,4.99,0,5.89,1.14,3,,,,,,
2,704,12/27/03,60,19999, ,U,4.99,1,5.89,1.14,2,,,,,,
3,700,12/27/03,60,18411, ,U,4.99,1,5.89,1.14,1,,,,,,
2,701,12/28/03,60,20000, ,U,4.99,0,5.89,1.14,1,,,,,,
2,710,12/31/03,60,20000, ,U,4.99,0,5.89,1.12,2,,,,,,
3,693,12/29/03,60,21500, ,U,4.99,0,6.19,1.13,3,,,,,,
2,703,12/29/03,60,22000, ,U,4.99,0,5.89,1.13,1,,,,,,
3,687,12/29/03,60,21999, ,U,4.99,0,6.19,1.13,1,,,,,,
3,695,12/30/03,60,20000, ,U,4.99,1,6.19,1.12,2,,,,,,
3,698,12/30/03,60,23170, ,U,4.99,0,6.19,1.12,2,,,,,,
2,710,12/31/03,60,19000, ,U,4.99,0,5.89,1.12,3,,,,,,
3,687,12/31/03,60,22000, ,U,4.99,0,6.19,1.12,1,,,,,,
3,697,1/2/04,60,21000, ,U,4.99,0,6.19,1.12,2,,,,,,
2,691,1/2/04,60,25000, ,U,4.99,0,5.89,1.12,3,,,,,,
3,696,1/3/04,60,22889, ,U,4.99,1,6.19,1.12,2,,,,,,
2,706,1/3/04,60,21187, ,U,4.99,0,5.89,1.12,1,,,,,,
2,703,1/3/04,60,25000, ,U,4.99,1,5.89,1.12,1,,,,,,
2,711,1/3/04,60,24355, ,U,4.99,1,5.89,1.12,2,,,,,,
3,695,1/3/04,60,25000, ,U,4.99,0,6.19,1.12,3,,,,,,
3,688,1/4/04,60,25000, ,U,4.99,0,6.19,1.12,1,,,,,,
3,687,1/5/04,60,19499, ,U,4.99,0,6.19,1.12,3,,,,,,
3,689,1/5/04,60,25000, ,U,4.99,0,6.19,1.12,3,,,,,,
2,698,1/5/04,60,21166, ,U,4.99,1,5.89,1.12,2,,,,,,
3,693,1/5/04,60,25000, ,U,4.99,0,6.19,1.12,2,,,,,,
2,706,1/5/04,60,23000, ,U,4.99,0,5.89,1.12,1,,,,,,
3,685,1/6/04,60,19500, ,U,4.99,0,6.19,1.12,3,,,,,,
3,693,1/6/04,60,21400, ,U,4.99,1,6.19,1.12,2,,,,,,
3,694,1/7/04,60,21898, ,U,4.99,0,6.19,1.11,2,,,,,,
3,690,1/7/04,60,22000, ,U,4.99,0,6.19,1.11,1,,,,,,
3,687,1/7/04,60,20000, ,U,4.99,0,6.19,1.11,2,,,,,,
3,696,1/7/04,60,19200, ,U,4.99,0,6.19,1.11,3,,,,,,
2,701,1/7/04,60,20000, ,U,4.99,0,5.89,1.11,1,,,,,,
2,705,1/8/04,60,20000, ,U,4.99,0,5.89,1.11,1,,,,,,
2,703,1/9/04,60,20000, ,U,4.85,0,5.89,1.11,1,,,,,,
2,706,1/9/04,60,20745, ,U,4.85,0,5.89,1.11,1,,,,,,
3,689,1/10/04,60,17899, ,U,4.85,1,6.09,1.11,1,,,,,,
1,698,1/10/04,60,18549, ,U,4.85,1,4.99,1.11,1,,,,,,
3,686,1/11/04,60,17999, ,U,4.85,0,6.19,1.11,3,,,,,,
3,684,1/12/04,60,19000, ,U,4.85,0,6.19,1.10,2,,,,,,
3,698,1/12/04,60,25000, ,U,4.85,0,6.19,1.10,2,,,,,,
3,694,1/12/04,60,20000, ,U,4.85,0,6.19,1.10,3,,,,,,
2,706,1/13/04,60,21263, ,U,4.85,0,5.89,1.10,1,,,,,,
2,703,1/13/04,60,24000, ,U,4.85,0,5.89,1.10,1,,,,,,
1,703,1/13/04,60,23620, ,U,4.85,0,4.85,1.10,3,,,,,,
2,712,1/13/04,60,24999, ,U,4.85,0,5.89,1.10,2,,,,,,
2,712,1/14/04,60,22152, ,U,4.85,0,5.89,1.10,3,,,,,,
3,693,1/14/04,60,21300, ,U,4.85,0,6.19,1.10,1,,,,,,
2,709,1/14/04,60,25000, ,U,4.85,0,5.89,1.10,1,,,,,,
2,703,1/14/04,60,17999, ,U,4.85,1,5.89,1.10,3,,,,,,
3,684,1/15/04,60,19999, ,U,4.85,0,6.19,1.10,2,,,,,,
3,708,1/15/04,60,24051, ,U,4.85,0,5.89,1.10,3,,,,,,
3,698,1/15/04,60,18500, ,U,4.85,0,6.19,1.10,3,,,,,,
1,688,1/16/04,60,20243, ,U,4.85,1,4.85,1.10,3,,,,,,
3,686,1/16/04,60,22750, ,U,4.85,0,6.19,1.10,1,,,,,,
1,696,1/16/04,60,24457, ,U,4.85,0,4.85,1.10,3,,,,,,
3,687,1/18/04,60,25000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,689,1/18/04,60,19999, ,U,4.85,0,6.19,1.10,1,,,,,,
2,705,1/18/04,60,23000, ,U,4.85,0,5.89,1.10,3,,,,,,
3,698,1/18/04,60,19765, ,U,4.85,0,6.19,1.10,1,,,,,,
3,699,1/18/04,60,24000, ,U,4.85,1,6.19,1.10,1,,,,,,
3,695,1/18/04,60,22000, ,U,4.85,0,6.19,1.10,2,,,,,,
2,710,1/19/04,60,22679, ,U,4.85,0,5.89,1.10,3,,,,,,
3,694,1/19/04,60,18500, ,U,4.85,0,6.19,1.10,3,,,,,,
3,686,1/20/04,60,22765, ,U,4.85,1,6.19,1.10,1,,,,,,
2,700,1/20/04,60,21022, ,U,4.85,1,5.89,1.10,1,,,,,,
3,696,1/20/04,60,22511, ,U,4.85,1,6.19,1.10,1,,,,,,
3,693,1/21/04,60,20595, ,U,4.85,0,6.19,1.10,2,,,,,,
2,700,1/22/04,60,25000, ,U,4.85,1,5.89,1.10,1,,,,,,
3,691,1/22/04,60,19999, ,U,4.85,1,6.19,1.10,2,,,,,,
3,698,1/22/04,60,19999, ,U,4.85,0,6.19,1.10,3,,,,,,
2,704,1/22/04,60,20138, ,U,4.85,1,5.89,1.10,1,,,,,,
3,686,1/22/04,60,22000, ,U,4.85,0,6.19,1.10,3,,,,,,
3,693,1/23/04,60,18000, ,U,4.85,0,6.19,1.10,3,,,,,,
2,707,1/23/04,60,20000, ,U,4.85,0,5.89,1.10,2,,,,,,
2,711,1/24/04,60,20000, ,U,4.85,0,5.89,1.10,1,,,,,,
2,706,1/24/04,60,20000, ,U,4.85,0,5.89,1.10,1,,,,,,
3,692,1/24/04,60,19411, ,U,4.85,1,6.19,1.10,1,,,,,,
2,703,1/25/04,60,24000, ,U,4.85,0,5.89,1.10,1,,,,,,
2,711,1/25/04,60,20000, ,U,4.85,0,5.89,1.10,1,,,,,,
3,698,1/25/04,60,25000, ,U,4.85,0,6.19,1.10,2,,,,,,
3,690,1/25/04,60,18000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,693,1/25/04,60,23000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,686,1/26/04,60,22000, ,U,4.85,0,6.19,1.10,3,,,,,,
2,709,1/26/04,60,20026, ,U,4.85,1,5.89,1.10,3,,,,,,
3,699,1/26/04,60,21000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,687,1/27/04,60,20853, ,U,4.85,0,6.19,1.10,3,,,,,,
3,695,1/27/04,60,24785, ,U,4.85,0,6.19,1.10,1,,,,,,
3,693,1/27/04,60,20595, ,U,4.85,0,6.19,1.10,2,,,,,,
2,706,1/28/04,60,20000, ,U,4.85,0,5.89,1.10,3,,,,,,
3,698,1/28/04,60,19999, ,U,4.85,0,6.19,1.10,3,,,,,,
3,698,1/28/04,60,19999, ,U,4.85,0,6.19,1.10,2,,,,,,
3,694,1/28/04,60,18650, ,U,4.85,0,6.19,1.10,3,,,,,,
2,705,1/29/04,60,20220, ,U,4.85,1,5.89,1.10,3,,,,,,
3,688,1/29/04,60,25000, ,U,4.85,0,6.19,1.10,3,,,,,,
2,703,1/30/04,60,21394, ,U,4.85,1,5.89,1.10,2,,,,,,
3,698,1/30/04,60,25000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,699,1/30/04,60,18500, ,U,4.85,0,6.19,1.10,3,,,,,,
2,705,1/30/04,60,21000, ,U,4.85,0,5.89,1.10,1,,,,,,
3,684,1/30/04,60,17965, ,U,4.85,1,6.19,1.10,1,,,,,,
3,698,1/31/04,60,18000, ,U,4.85,0,6.19,1.10,1,,,,,,
2,712,2/1/04,60,22000, ,U,4.85,0,5.89,1.10,1,,,,,,
3,693,2/1/04,60,21000, ,U,4.85,0,6.19,1.10,2,,,,,,
1,701,2/1/04,60,22000, ,U,4.85,1,4.85,1.10,1,,,,,,
2,707,2/2/04,60,25000, ,U,4.85,0,5.89,1.10,1,,,,,,
2,692,2/2/04,60,24500, ,U,4.85,1,5.89,1.10,1,,,,,,
3,696,2/2/04,60,20985, ,U,4.85,1,6.19,1.10,1,,,,,,
3,687,2/3/04,60,24989, ,U,4.85,1,6.19,1.10,2,,,,,,
2,706,2/3/04,60,25000, ,U,4.85,0,5.89,1.10,3,,,,,,
2,702,2/3/04,60,24600, ,U,4.85,0,5.89,1.10,1,,,,,,
3,686,2/4/04,60,19104, ,U,4.85,1,6.19,1.10,1,,,,,,
2,705,2/4/04,60,22000, ,U,4.85,1,5.89,1.10,2,,,,,,
2,702,2/4/04,60,23149, ,U,4.85,1,5.89,1.10,2,,,,,,
2,707,2/5/04,60,20000, ,U,4.85,0,5.89,1.10,3,,,,,,
3,689,2/7/04,60,25000, ,U,4.85,0,6.19,1.10,2,,,,,,
3,691,2/8/04,60,23822, ,U,4.85,1,6.19,1.10,2,,,,,,
1,685,2/8/04,60,22163, ,U,4.85,1,4.85,1.10,2,,,,,,
3,691,2/8/04,60,23735, ,U,4.85,0,6.19,1.10,3,,,,,,
2,711,2/9/04,60,19999, ,U,4.85,0,5.89,1.10,2,,,,,,
2,701,2/9/04,60,23304, ,U,4.85,1,5.89,1.10,1,,,,,,
2,710,2/10/04,60,22000, ,U,4.85,0,5.89,1.10,2,,,,,,
2,700,2/10/04,60,24599, ,U,4.85,1,5.89,1.10,3,,,,,,
2,711,2/10/04,60,24499, ,U,4.85,0,5.89,1.10,2,,,,,,
2,706,2/10/04,60,20000, ,U,4.85,0,5.89,1.10,2,,,,,,
3,692,2/10/04,60,21999, ,U,4.85,0,6.19,1.10,2,,,,,,
3,685,2/10/04,60,23000, ,U,4.85,0,6.19,1.10,1,,,,,,
3,690,2/10/04,60,20000, ,U,4.85,0,6.19,1.10,3,,,,,,
3,697,2/11/04,60,22305, ,U,4.85,1,6.19,1.10,2,,,,,,
3,691,2/11/04,60,20876, ,U,4.85,0,6.19,1.10,3,,,,,,
3,693,2/11/04,60,19000, ,U,4.85,0,6.19,1.10,3,,,,,,
2,702,2/12/04,60,25000, ,U,4.85,0,5.89,1.09,2,,,,,,
3,695,2/12/04,60,20000, ,U,4.85,0,6.29,1.09,3,,,,,,
3,699,2/12/04,60,23500, ,U,4.85,0,6.19,1.09,3,,,,,,
2,706,2/12/04,60,22000, ,U,4.85,0,5.89,1.09,1,,,,,,
3,698,2/12/04,60,19500, ,U,4.85,0,6.19,1.09,3,,,,,,
2,700,2/12/04,60,19899, ,U,4.85,1,5.89,1.09,2,,,,,,
3,705,2/13/04,60,25000, ,U,4.65,0,5.89,1.09,3,,,,,,
3,686,2/13/04,60,21625, ,U,4.65,0,6.19,1.09,1,,,,,,
3,697,2/13/04,60,24393, ,U,4.65,1,6.19,1.09,1,,,,,,
2,712,2/14/04,60,22000, ,U,4.65,0,5.89,1.09,3,,,,,,
3,695,2/15/04,60,22713, ,U,4.65,1,6.19,1.09,1,,,,,,
3,697,2/16/04,60,25000, ,U,4.65,0,6.19,1.09,1,,,,,,
3,696,2/16/04,60,22995, ,U,4.65,1,6.19,1.09,2,,,,,,
3,686,2/16/04,60,24999, ,U,4.65,0,6.19,1.09,2,,,,,,
3,686,2/16/04,60,19875, ,U,4.65,1,6.19,1.09,3,,,,,,
2,705,2/16/04,60,22600, ,U,4.65,0,5.89,1.09,1,,,,,,
2,704,2/17/04,60,23000, ,U,4.65,1,5.89,1.09,1,,,,,,
3,698,2/17/04,60,22391, ,U,4.65,1,6.19,1.09,3,,,,,,
3,693,2/17/04,60,23500, ,U,4.65,0,6.19,1.09,1,,,,,,
3,687,2/17/04,60,22000, ,U,4.65,0,6.19,1.09,1,,,,,,
2,709,2/18/04,60,18000, ,U,4.65,1,5.89,1.09,3,,,,,,
3,689,2/18/04,60,18300, ,U,4.65,0,6.19,1.09,1,,,,,,
3,695,2/18/04,60,19999, ,U,4.65,0,6.19,1.09,1,,,,,,
3,688,2/18/04,60,18926, ,U,4.65,1,6.19,1.09,2,,,,,,
2,702,2/19/04,60,19232, ,U,4.65,1,5.89,1.09,2,,,,,,
2,706,2/19/04,60,25000, ,U,4.65,0,5.89,1.09,2,,,,,,
3,697,2/19/04,60,19067, ,U,4.65,1,6.19,1.09,1,,,,,,
3,687,2/19/04,60,22000, ,U,4.65,0,6.19,1.09,1,,,,,,
2,700,2/20/04,60,23545, ,U,4.65,0,5.89,1.09,3,,,,,,
3,694,2/21/04,60,22000, ,U,4.65,0,6.19,1.09,1,,,,,,
2,701,2/23/04,60,18600, ,U,4.65,0,5.89,1.09,1,,,,,,
3,684,2/24/04,60,19340, ,U,4.65,1,6.19,1.09,1,,,,,,
2,704,2/25/04,60,24837, ,U,4.65,1,5.89,1.09,1,,,,,,
2,706,2/25/04,60,24900, ,U,4.65,0,5.89,1.09,1,,,,,,
2,700,2/26/04,60,21500, ,U,4.65,0,5.89,1.10,3,,,,,,
2,700,2/26/04,60,20000, ,U,4.65,1,5.89,1.10,1,,,,,,
3,688,2/26/04,60,18000, ,U,4.65,1,6.19,1.10,3,,,,,,
2,703,2/26/04,60,20812, ,U,4.65,1,5.89,1.10,1,,,,,,
3,697,2/26/04,60,23000, ,U,4.65,0,6.19,1.10,1,,,,,,
3,696,2/26/04,60,25000, ,U,4.65,0,6.19,1.10,3,,,,,,
3,687,2/27/04,60,20443, ,U,4.49,1,6.19,1.10,1,,,,,,
2,700,2/27/04,60,18500, ,U,4.49,0,5.89,1.10,1,,,,,,
2,709,2/27/04,60,19026, ,U,4.49,1,5.89,1.10,2,,,,,,
3,690,2/28/04,60,19051, ,U,4.49,0,6.19,1.10,1,,,,,,
2,703,2/28/04,60,20000, ,U,4.49,0,5.89,1.10,1,,,,,,
2,712,2/28/04,60,21840, ,U,4.49,1,5.89,1.10,1,,,,,,
3,688,3/1/04,60,18649, ,U,4.49,1,6.19,1.10,1,,,,,,
3,696,3/1/04,60,22000, ,U,4.49,0,6.19,1.10,1,,,,,,
3,688,3/1/04,60,24406, ,U,4.49,0,6.19,1.10,2,,,,,,
2,704,3/1/04,60,22178, ,U,4.49,1,5.89,1.10,3,,,,,,
2,707,3/1/04,60,18325, ,U,4.49,1,5.89,1.10,3,,,,,,
2,705,3/2/04,60,20000, ,U,4.49,0,5.89,1.10,2,,,,,,
3,691,3/2/04,60,24145, ,U,4.49,1,6.19,1.10,1,,,,,,
3,692,3/2/04,60,23884, ,U,4.49,0,6.19,1.10,3,,,,,,
3,694,3/3/04,60,21191, ,U,4.49,1,6.19,1.10,3,,,,,,
3,693,3/3/04,60,19999, ,U,4.49,0,6.19,1.10,1,,,,,,
3,707,3/3/04,60,21800, ,U,4.49,1,6.19,1.10,2,,,,,,
2,709,3/4/04,60,20000, ,U,4.49,0,5.89,1.10,1,,,,,,
3,695,3/4/04,60,22000, ,U,4.49,0,6.19,1.10,3,,,,,,
3,695,3/4/04,60,25000, ,U,4.49,0,6.19,1.10,1,,,,,,
3,696,3/4/04,60,25000, ,U,4.49,0,6.19,1.10,1,,,,,,
3,693,3/5/04,60,20399, ,U,4.49,1,6.19,1.10,1,,,,,,
2,701,3/5/04,60,18774, ,U,4.49,0,5.89,1.10,3,,,,,,
3,687,3/5/04,60,22000, ,U,4.49,0,6.19,1.10,1,,,,,,
3,693,3/6/04,60,22000, ,U,4.49,0,6.19,1.10,1,,,,,,
3,692,3/7/04,60,20000, ,U,4.49,1,6.19,1.10,1,,,,,,
3,696,3/7/04,60,18253, ,U,4.49,0,6.19,1.10,3,,,,,,
3,693,3/8/04,60,21000, ,U,4.49,0,6.19,1.09,3,,,,,,
3,698,3/8/04,60,20000, ,U,4.49,0,6.19,1.09,2,,,,,,
3,702,3/8/04,60,21120, ,U,4.49,0,5.89,1.09,3,,,,,,
3,687,3/8/04,60,20000, ,U,4.49,0,6.19,1.09,2,,,,,,
3,696,3/8/04,60,20000, ,U,4.49,0,6.19,1.09,3,,,,,,
3,706,3/8/04,60,21248, ,U,4.49,0,5.89,1.09,2,,,,,,
2,711,3/8/04,60,19298, ,U,4.49,0,5.89,1.09,3,,,,,,
3,692,3/8/04,60,22000, ,U,4.49,0,6.19,1.09,3,,,,,,
1,689,3/9/04,60,19846, ,U,4.49,1,4.49,1.09,3,,,,,,
2,707,3/9/04,60,24999, ,U,4.49,0,5.89,1.09,3,,,,,,
2,705,3/9/04,60,21000, ,U,4.49,0,5.89,1.09,2,,,,,,
2,708,3/9/04,60,19000, ,U,4.49,1,5.89,1.09,2,,,,,,
3,690,3/9/04,60,20000, ,U,4.49,0,6.19,1.09,3,,,,,,
2,710,3/9/04,60,23000, ,U,4.49,0,5.89,1.09,1,,,,,,
4,690,3/10/04,60,24400, ,U,4.49,1,8.49,1.09,3,,,,,,
3,696,3/10/04,60,20340, ,U,4.49,1,6.19,1.09,3,,,,,,
3,695,3/10/04,60,25000, ,U,4.49,0,6.19,1.09,2,,,,,,
2,691,3/10/04,60,24625, ,U,4.49,1,5.89,1.09,3,,,,,,
2,700,3/10/04,60,22000, ,U,4.49,0,5.89,1.09,3,,,,,,
3,690,3/15/04,60,21999, ,U,4.39,0,6.19,1.09,2,,,,,,
2,705,3/11/04,60,19703, ,U,4.49,1,5.89,1.09,1,,,,,,
2,700,3/11/04,60,21721, ,U,4.49,1,5.89,1.09,3,,,,,,
3,697,3/11/04,60,25000, ,U,4.49,0,6.19,1.09,3,,,,,,
2,702,3/11/04,60,22000, ,U,4.49,0,5.89,1.09,1,,,,,,
2,704,3/12/04,60,24338, ,U,4.39,1,5.89,1.09,2,,,,,,
2,704,3/12/04,60,18000, ,U,4.39,1,5.89,1.09,2,,,,,,
2,706,3/12/04,60,19999, ,U,4.39,0,5.89,1.09,2,,,,,,
2,704,3/13/04,60,25000, ,U,4.39,0,5.89,1.09,1,,,,,,
3,689,3/16/04,60,25000, ,U,4.39,0,6.19,1.09,3,,,,,,
2,705,3/13/04,60,22000, ,U,4.39,0,5.89,1.09,1,,,,,,
2,700,3/14/04,60,25000, ,U,4.39,0,5.89,1.09,3,,,,,,
3,697,3/14/04,60,20000, ,U,4.39,0,6.19,1.09,2,,,,,,
2,705,3/14/04,60,25000, ,U,4.39,0,5.89,1.09,3,,,,,,
3,689,3/14/04,60,20000, ,U,4.39,0,6.19,1.09,3,,,,,,
2,704,3/15/04,60,23500, ,U,4.39,1,5.89,1.09,1,,,,,,
3,694,3/15/04,60,22000, ,U,4.39,0,6.19,1.09,3,,,,,,
2,702,3/15/04,60,20000, ,U,4.39,0,5.89,1.09,3,,,,,,
2,707,3/15/04,60,23000, ,U,4.39,0,5.89,1.09,3,,,,,,
2,706,3/15/04,60,18250, ,U,4.39,1,5.89,1.09,3,,,,,,
2,708,3/15/04,60,25000, ,U,4.39,0,5.89,1.09,3,,,,,,
3,689,3/15/04,60,20000, ,U,4.39,0,6.19,1.09,3,,,,,,
3,690,3/17/04,60,23000, ,U,4.39,0,6.19,1.09,3,,,,,,
2,709,3/16/04,60,22000, ,U,4.39,0,5.89,1.09,3,,,,,,
3,699,3/16/04,60,18613, ,U,4.39,1,6.19,1.09,3,,,,,,
3,696,3/16/04,60,22000, ,U,4.39,0,6.19,1.09,1,,,,,,
1,697,3/16/04,60,19148, ,U,4.39,1,4.39,1.09,1,,,,,,
3,687,3/18/04,60,22533, ,U,4.39,1,6.19,1.09,2,,,,,,
2,687,3/17/04,60,20000, ,U,4.39,0,5.89,1.09,1,,,,,,
3,691,3/17/04,60,20000, ,U,4.39,0,6.19,1.09,3,,,,,,
2,705,3/18/04,60,18777, ,U,4.39,0,5.89,1.09,3,,,,,,
